,AC,route,arrTime,hldTime
0,ac_1,PIBAP,0.0,0
1,ac_1,PASPU,328.235294117647,0
2,ac_1,NYLON,632.8506787330316,0
3,ac_1,ELBEX,735.7078215901745,0
4,ac_1,RUNWAY1,927.1971832923022,0
5,ac_2,PASPU,60.0,0
6,ac_2,NYLON,364.61538461538464,0
7,ac_2,ELBEX,467.4725274725275,0
8,ac_2,RUNWAY1,658.9618891746552,0
9,ac_3,ARAMA,120.0,0
10,ac_3,LELIB,331.7647058823529,0
11,ac_3,JAYBEE,580.9954751131222,0
12,ac_3,ALFA,677.9185520361991,0
13,ac_3,BETBA,747.1493212669684,0
14,ac_3,BIDUS,816.3800904977377,0
15,ac_3,ELBEX,931.2372333548806,0
16,ac_3,RUNWAY1,1122.7265950570081,0
17,ac_4,BOBAG,180.0,0
18,ac_4,SINJON,512.3076923076924,0
19,ac_4,PAPA UNIFORM,692.3076923076924,0
20,ac_4,BETBA,807.5076923076924,0
21,ac_4,BIDUS,876.7384615384617,0
22,ac_4,ELBEX,991.5956043956046,0
23,ac_4,RUNWAY1,1183.0849660977324,0
24,ac_5,ASUNA,480.0,0
25,ac_5,BOBAG,691.7647058823529,0
26,ac_5,SINJON,1024.0723981900453,0
27,ac_5,PAPA UNIFORM,1204.0723981900453,0
28,ac_5,BETBA,1314.841628959276,0
29,ac_5,BIDUS,1384.0723981900453,0
30,ac_5,ELBEX,1498.9295410471882,0
31,ac_5,RUNWAY1,1690.4189027493157,0
32,ac_6,JAYBEE,120.0,0
33,ac_6,ALFA,216.92307692307693,0
34,ac_6,BETBA,286.1538461538462,0
35,ac_6,BIDUS,355.3846153846154,0
36,ac_6,VABRI,492.5274725274726,0
37,ac_6,RUNWAY2,684.0168342296002,0
38,ac_7,REPOV,360.0,0
39,ac_7,REMES,656.4705882352941,0
40,ac_7,BTM,1030.316742081448,0
41,ac_7,DOVAN,1196.4705882352941,0
42,ac_7,BIPOP,1362.6244343891403,0
43,ac_7,VABRI,1465.4815772462832,0
44,ac_7,RUNWAY2,1656.970938948411,0
45,ac_8,IKIMA,240.0,0
46,ac_8,IBULA,516.9230769230769,0
47,ac_8,LAVAX,739.2760180995475,0
48,ac_8,RUVIK,850.0452488687783,0
49,ac_8,DOVAN,974.660633484163,0
50,ac_8,BIPOP,1140.814479638009,0
51,ac_8,VABRI,1243.671622495152,0
52,ac_8,RUNWAY2,1435.1609841972795,0
53,ac_9,IBULA,300.0,0
54,ac_9,LAVAX,522.3529411764706,0
55,ac_9,RUVIK,633.1221719457014,0
56,ac_9,DOVAN,757.7375565610861,0
57,ac_9,BIPOP,923.8914027149323,0
58,ac_9,VABRI,1026.748545572075,0
59,ac_9,RUNWAY2,1218.2379072742028,0
60,ac_10,KEXAS,420.0,0
61,ac_10,LAVAX,642.3529411764706,0
62,ac_10,RUVIK,753.1221719457014,0
63,ac_10,DOVAN,877.7375565610861,0
64,ac_10,BIPOP,1043.8914027149322,0
65,ac_10,VABRI,1146.748545572075,0
66,ac_10,RUNWAY2,1338.2379072742028,0
67,ac_11,LELIB,60.0,0
68,ac_11,JAYBEE,309.2307692307693,0
69,ac_11,ALFA,406.1538461538462,0
70,ac_11,BETBA,475.3846153846154,0
71,ac_11,BIDUS,544.6153846153846,0
72,ac_11,ELBEX,659.4725274725275,0
73,ac_11,RUNWAY1,850.9618891746552,0
74,ac_12,NYLON,180.0,0
75,ac_12,ELBEX,282.85714285714283,0
76,ac_12,RUNWAY1,474.3465045592705,0
