,AC,route,arrTime,hldTime
0,ac_1,PIBAP,0.0,0.0
1,ac_1,PASPU,328.23529411764696,0.0
2,ac_1,NYLON,632.8506787330309,0.0
3,ac_1,ELBEX,735.7078215901743,0.0
4,ac_1,RUNWAY1,927.1971832925806,0.0
5,ac_2,PASPU,60.0,0.0
6,ac_2,NYLON,364.6153846153848,0.0
7,ac_2,VABRI,467.47252747252816,0.0
8,ac_2,RUNWAY2,658.9618891749344,0.0
9,ac_3,ARAMA,120.0,0.0
10,ac_3,LELIB,331.7647058823528,0.0
11,ac_3,JAYBEE,580.9954751129878,0.0
12,ac_3,ALFA,677.9185520363999,0.0
13,ac_3,BETBA,747.1493212670294,0.0
14,ac_3,BIDUS,816.3800904976595,0.0
15,ac_3,ELBEX,931.2372333548772,0.0
16,ac_3,RUNWAY1,1122.7265950572835,0.0
17,ac_4,BOBAG,180.0,4.072398189971693
18,ac_4,SINJON,516.3800904976641,0.0
19,ac_4,PAPA UNIFORM,696.3800904976641,0.0
20,ac_4,BETBA,807.1493212670292,0.0
21,ac_4,BIDUS,876.3800904976368,0.0
22,ac_4,ELBEX,991.2372333548533,0.0
23,ac_4,RUNWAY1,1182.7265950572596,0.0
24,ac_5,ASUNA,480.0,0.0
25,ac_5,BOBAG,691.7647058823529,0.0
26,ac_5,SINJON,1024.072398190045,0.0
27,ac_5,PAPA UNIFORM,1204.0723981900403,0.0
28,ac_5,BETBA,1314.8416289594102,0.0
29,ac_5,BIDUS,1384.0723981900442,0.0
30,ac_5,ELBEX,1498.9295410472423,0.0
31,ac_5,RUNWAY1,1690.4189027496293,0.0
32,ac_6,JAYBEE,120.0,0.0
33,ac_6,ALFA,216.9230769230769,0.0
34,ac_6,BETBA,286.153846153846,0.0
35,ac_6,BIDUS,355.38461538461485,0.0
36,ac_6,ELBEX,470.24175824175785,0.0
37,ac_6,RUNWAY1,661.7311199441601,0.0
38,ac_7,REPOV,360.0,0.0
39,ac_7,REMES,656.4705882352939,0.0
40,ac_7,BTM,1030.3167420814457,0.0
41,ac_7,DOVAN,1196.4705882354933,0.0
42,ac_7,BIPOP,1362.6244343895316,0.0
43,ac_7,VABRI,1465.4815772469215,0.0
44,ac_7,RUNWAY2,1656.9709389493278,0.0
45,ac_8,IKIMA,240.0,0.0
46,ac_8,IBULA,516.9230769230768,0.0
47,ac_8,LAVAX,739.2760180995456,0.0
48,ac_8,RUVIK,850.0452488687743,0.0
49,ac_8,DOVAN,974.6606334841573,0.0
50,ac_8,BIPOP,1140.8144796380036,0.0
51,ac_8,VABRI,1243.671622495147,0.0
52,ac_8,RUNWAY2,1435.1609841975533,0.0
53,ac_9,IBULA,300.0,0.0
54,ac_9,LAVAX,522.3529411764706,0.0
55,ac_9,RUVIK,633.1221719457004,0.0
56,ac_9,DOVAN,757.7375565610844,0.0
57,ac_9,BIPOP,923.8914027149294,0.0
58,ac_9,VABRI,1026.7485455720634,0.0
59,ac_9,RUNWAY2,1218.2379072744702,0.0
60,ac_10,KEXAS,420.0,0.0
61,ac_10,LAVAX,642.3529411764706,0.0
62,ac_10,RUVIK,753.1221719457008,0.0
63,ac_10,DOVAN,877.7375565610854,0.0
64,ac_10,BIPOP,1043.8914027149317,0.0
65,ac_10,VABRI,1146.7485455720741,0.0
66,ac_10,RUNWAY2,1338.2379072744804,0.0
67,ac_11,LELIB,60.0,0.0
68,ac_11,JAYBEE,309.23076923076917,0.0
69,ac_11,ALFA,406.1538461538459,0.0
70,ac_11,BETBA,475.38461538461434,0.0
71,ac_11,BIDUS,544.6153846153832,0.0
72,ac_11,ELBEX,659.4725274725258,0.0
73,ac_11,RUNWAY1,850.9618891749269,0.0
74,ac_12,NYLON,180.0,0.0
75,ac_12,VABRI,282.8571428571429,0.0
76,ac_12,RUNWAY2,474.3465045595492,0.0
