,AC,route,arrTime,hldTime
0,ac_1,PIBAP,0,0
1,ac_1,PASPU,328.2352941,0
2,ac_1,NYLON,632.8506787,0
3,ac_1,VABRI,735.7078216,0
4,ac_1,RUNWAY2,927.1971833,0
5,ac_2,PASPU,60,0
6,ac_2,NYLON,364.6153846,0
7,ac_2,VABRI,467.4725275,0
8,ac_2,RUNWAY2,658.9618892,0
9,ac_3,ARAMA,120,0
10,ac_3,LELIB,331.7647059,0
11,ac_3,JAYBEE,580.9954751,0
12,ac_3,ALFA,677.918552,0
13,ac_3,BETBA,747.1493213,0
14,ac_3,BIDUS,816.3800905,0
15,ac_3,ELBEX,931.2372334,0
16,ac_3,RUNWAY1,1122.726595,0
17,ac_4,BOBAG,180,0
18,ac_4,SINJON,512.3076923,0
19,ac_4,PAPA UNIFORM,692.3076923,0
20,ac_4,BETBA,807.1493213,0
21,ac_4,BIDUS,876.3800905,0
22,ac_4,ELBEX,991.2372334,0
23,ac_4,RUNWAY1,1182.726595,0
24,ac_5,ASUNA,480,0
25,ac_5,BOBAG,691.7647059,0
26,ac_5,SINJON,1024.072398,0
27,ac_5,PAPA UNIFORM,1204.072398,0
28,ac_5,BETBA,1314.841629,0
29,ac_5,BIDUS,1384.072398,0
30,ac_5,ELBEX,1498.929541,0
31,ac_5,RUNWAY1,1690.418903,0
32,ac_6,JAYBEE,120,0
33,ac_6,ALFA,216.9230769,0
34,ac_6,BETBA,286.1538462,0
35,ac_6,BIDUS,355.3846154,0
36,ac_6,ELBEX,470.2417582,0
37,ac_6,RUNWAY1,661.7311199,0
38,ac_7,REPOV,360,0
39,ac_7,REMES,656.4705882,0
40,ac_7,BTM,1030.316742,0
41,ac_7,DOVAN,1196.470588,0
42,ac_7,BIPOP,1362.624434,0
43,ac_7,VABRI,1465.481577,0
44,ac_7,RUNWAY2,1656.970939,0
45,ac_8,IKIMA,240,0
46,ac_8,IBULA,516.9230769,0
47,ac_8,LAVAX,739.2760181,0
48,ac_8,RUVIK,850.0452489,0
49,ac_8,DOVAN,974.6606335,0
50,ac_8,BIPOP,1140.81448,0
51,ac_8,VABRI,1243.671622,0
52,ac_8,RUNWAY2,1435.160984,0
53,ac_9,IBULA,300,0
54,ac_9,LAVAX,522.3529412,0
55,ac_9,RUVIK,633.1221719,0
56,ac_9,DOVAN,757.7375566,0
57,ac_9,BIPOP,923.8914027,0
58,ac_9,VABRI,1026.748546,0
59,ac_9,RUNWAY2,1218.237907,0
60,ac_10,KEXAS,420,0
61,ac_10,LAVAX,642.3529412,0
62,ac_10,RUVIK,753.1221719,0
63,ac_10,DOVAN,877.7375566,0
64,ac_10,BIPOP,1043.891403,0
65,ac_10,VABRI,1146.748546,0
66,ac_10,RUNWAY2,1338.237907,0
